1635399652633|3|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|     drop table t_log if exists|     drop table t_log if exists
1635399652641|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|     drop table t_person if exists|     drop table t_person if exists
1635399652665|16|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|     create table t_log (        id varchar(255) not null,         snow_flake_id varchar(255),         method_name varchar(32),         request_time varchar(64),         time varchar(64),         transaction_id varchar(100),         primary key (id)     )|     create table t_log (        id varchar(255) not null,         snow_flake_id varchar(255),         method_name varchar(32),         request_time varchar(64),         time varchar(64),         transaction_id varchar(100),         primary key (id)     )
1635399652665|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|     create table t_person (        id varchar(255) not null,         snow_flake_id varchar(255),         org_id varchar(64),         email_id varchar(64),         passwd varchar(64),         tel_contact_no varchar(32),         user_id varchar(64),         primary key (id)     )|     create table t_person (        id varchar(255) not null,         snow_flake_id varchar(255),         org_id varchar(64),         email_id varchar(64),         passwd varchar(64),         tel_contact_no varchar(32),         user_id varchar(64),         primary key (id)     )
1635399652665|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|     alter table t_log         add constraint UK_suuhfp3jclbheuongfl0xunx6 unique (transaction_id)|     alter table t_log         add constraint UK_suuhfp3jclbheuongfl0xunx6 unique (transaction_id)
1635399652673|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|     alter table t_person         add constraint UK_iapljo3w2waqkx7humjr7hoja unique (user_id)|     alter table t_person         add constraint UK_iapljo3w2waqkx7humjr7hoja unique (user_id)
1635399655638|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_person (id, org_id, email_id, passwd, tel_contact_no, user_id) values (?, ?,?,?,?,?)|insert into t_person (id, org_id, email_id, passwd, tel_contact_no, user_id) values ('0', '上扬','work@163.com','123','13728897992','u007')
1635399655646|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1635399707192|0|statement|connection 11|url jdbc:p6spy:h2:mem:testdb|SELECT * FROM T_LOG T_PERSON|SELECT * FROM T_LOG T_PERSON
1635399710396|0|statement|connection 11|url jdbc:p6spy:h2:mem:testdb|SELECT * FROM T_LOG T_PERSON|SELECT * FROM T_LOG T_PERSON
1635399711110|0|statement|connection 11|url jdbc:p6spy:h2:mem:testdb|SELECT * FROM T_LOG T_PERSON|SELECT * FROM T_LOG T_PERSON
1635399711638|0|statement|connection 11|url jdbc:p6spy:h2:mem:testdb|SELECT * FROM T_LOG T_PERSON|SELECT * FROM T_LOG T_PERSON
1635399712080|0|statement|connection 11|url jdbc:p6spy:h2:mem:testdb|SELECT * FROM T_LOG T_PERSON|SELECT * FROM T_LOG T_PERSON
1635399712256|0|statement|connection 11|url jdbc:p6spy:h2:mem:testdb|SELECT * FROM T_LOG T_PERSON|SELECT * FROM T_LOG T_PERSON
1635399712504|0|statement|connection 11|url jdbc:p6spy:h2:mem:testdb|SELECT * FROM T_LOG T_PERSON|SELECT * FROM T_LOG T_PERSON
1635399712616|0|statement|connection 11|url jdbc:p6spy:h2:mem:testdb|SELECT * FROM T_LOG T_PERSON|SELECT * FROM T_LOG T_PERSON
1635399712736|0|statement|connection 11|url jdbc:p6spy:h2:mem:testdb|SELECT * FROM T_LOG T_PERSON|SELECT * FROM T_LOG T_PERSON
